SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-9-2019,Condo/Co-op,83 Tarocco,Irvine,CA,92618,455000,2,2,OT - Orangetree,951,,1983,85,478,303,Sold,,,http://www.redfin.com/CA/Irvine/83-Tarocco-92618/home/5480028,CRMLS,OC19080977,N,Y,33.6742251,-117.7745645
PAST SALE,,Condo/Co-op,287 Follyhatch,Irvine,CA,92618,717000,2,2,,1392,,,,515,,,,,http://www.redfin.com/CA/Irvine/287-Follyhatch-92618/home/143913763,,,N,Y,33.6912887,-117.7342558
PAST SALE,July-11-2019,Condo/Co-op,82 Dovetail,Irvine,CA,92603,625000,2,2,QH - Quail Hill,1400,,2004,83,446,293,Sold,,,http://www.redfin.com/CA/Irvine/82-Dovetail-92603/home/5947528,CRMLS,OC19098253,N,Y,33.6507174,-117.7771144
PAST SALE,July-5-2019,Townhouse,16 Cetinale Aisle,Irvine,CA,92606,652000,3,2.5,WP - Westpark,1443,2185,1993,89,452,423,Sold,,,http://www.redfin.com/CA/Irvine/16-Cetinale-Aisle-92606/home/5590223,CRMLS,OC19114870,N,Y,33.6864996,-117.8180687
PAST SALE,July-11-2019,Condo/Co-op,12445 N Davies Pl,Tustin,CA,92782,877750,4,2.5,89 - Tustin Ranch,1956,,1997,83,449,150,Sold,,,http://www.redfin.com/CA/Tustin/12445-N-Davies-Pl-92782/unit-098/home/5629003,CRMLS,OC19110135,N,Y,33.7377515,-117.7794173
PAST SALE,July-12-2019,Single Family Residential,35 Umbria,Irvine,CA,92618,1650000,4,3,LGA - Laguna Altura,2459,5000,2013,82,671,280,Sold,,,http://www.redfin.com/CA/Irvine/35-Umbria-92618/home/45378846,CRMLS,OC19104231,N,Y,33.6422864,-117.7571971
PAST SALE,July-12-2019,Single Family Residential,81 Cactus Flower,Irvine,CA,92620,960000,3,2.5,CV - Cypress Village,2016,2500,2013,82,476,135,Sold,,,http://www.redfin.com/CA/Irvine/81-Cactus-Flower-92620/home/58556683,CRMLS,PW19131605,N,Y,33.6908578,-117.7570138
PAST SALE,July-12-2019,Condo/Co-op,184 Pathway,Irvine,CA,92618,833000,4,3,PS - Portola Springs,2095,,2012,82,398,239,Sold,,,http://www.redfin.com/CA/Irvine/184-Pathway-92618/home/51685102,CRMLS,OC19066063,N,Y,33.6925469,-117.7141125
PAST SALE,July-8-2019,Condo/Co-op,84 Thornhurst,Irvine,CA,92620,742000,2,2.5,STG - Stonegate,1538,,2013,86,482,335,Sold,,,http://www.redfin.com/CA/Irvine/84-Thornhurst-92620/home/58557458,CRMLS,OC19097048,N,Y,33.7067467,-117.7493986
PAST SALE,July-25-2019,Single Family Residential,13702 Solitaire Way,Irvine,CA,92620,950000,4,2.5,NW - Northwood,2550,5500,1970,69,373,,Sold,,,http://www.redfin.com/CA/Irvine/13702-Solitaire-Way-92620/home/4776920,CRMLS,OC19094826,N,Y,33.7122758,-117.7768028
PAST SALE,September-23-2019,Townhouse,59 Claret #3,Irvine,CA,92614,750000,3,2.5,WB - Woodbridge,1594,,1980,9,471,437,Sold,,,http://www.redfin.com/CA/Irvine/59-Claret-92614/unit-3/home/5632736,CRMLS,NP19143121,N,Y,33.672492,-117.8137086
