SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Condo/Co-op,118 Borrego,Irvine,CA,92618,501500,,,,,,,,,,,,,http://www.redfin.com/CA/Irvine/118-Borrego-92618/home/52530546,,,N,Y,33.6981987,-117.7155561
PAST SALE,June-21-2012,Single Family Residential,240 GREENMOOR,Irvine,CA,92614,635000,4,3.0,WB - Woodbridge,1900,3570,1984,2830,334,82,Sold,,,http://www.redfin.com/CA/Irvine/240-Greenmoor-92614/home/4697659,CRMLS,S695258,N,Y,33.6671242,-117.7987881
PAST SALE,June-7-2019,Condo/Co-op,3406 Watermarke Pl,Irvine,CA,92612,631000,2,2.0,UT - University Town Center,1137,,2004,288,555,377,Sold,,,http://www.redfin.com/CA/Irvine/3406-Watermarke-Pl-92612/home/5980544,CRMLS,OC19086222,N,Y,33.6661396,-117.8507503
PAST SALE,September-13-2017,Condo/Co-op,34 Full Moon,Irvine,CA,92618,489900,1,1.5,PS - Portola Springs,1220,,2010,920,402,324,Sold,,,http://www.redfin.com/CA/Irvine/34-Full-Moon-92618/home/40102637,CRMLS,OC17178833,N,Y,33.6952465,-117.7189038
PAST SALE,December-26-2019,Townhouse,72 Jade Flower,Irvine,CA,92620,750000,3,3.0,CV - Cypress Village,1619,1800,2015,86,463,335,Sold,,,http://www.redfin.com/CA/Irvine/72-Jade-Flower-92620/home/112722244,CRMLS,OC19249450,N,Y,33.680878,-117.7580605
PAST SALE,June-27-2018,Townhouse,2694 Dietrich Dr,Tustin,CA,92782,560000,2,2.0,89 - Tustin Ranch,1233,,1994,633,454,324,Sold,,,http://www.redfin.com/CA/Tustin/2694-Dietrich-Dr-92782/home/5628669,CRMLS,OC18110871,N,Y,33.756072,-117.766309
PAST SALE,November-13-2015,Townhouse,366 Fallingstar,Irvine,CA,92614,511000,2,2.5,WB - Woodbridge,1176,4356000,1984,1590,435,304,Sold,,,http://www.redfin.com/CA/Irvine/366-Fallingstar-92614/unit-64/home/5668069,CRMLS,OC15199978,N,Y,33.6686787,-117.7956759
PAST SALE,April-3-2018,Single Family Residential,24 Desert Willow,Irvine,CA,92606,1212000,4,3.5,CG - Columbus Grove,2878,5189,2005,718,421,160,Sold,,,http://www.redfin.com/CA/Irvine/24-Desert-Willow-92606/home/7202328,CRMLS,OC18024553,N,Y,33.6917696,-117.81555
PAST SALE,September-20-2016,Single Family Residential,14 Deer Spg,Irvine,CA,92604,999000,4,2.5,EC - El Camino Real,2564,5185,1976,1278,390,65,Sold,,,http://www.redfin.com/CA/Irvine/14-Deer-Spg-92604/home/4683444,CRMLS,OC16160082,N,Y,33.6937887,-117.7928995
PAST SALE,January-8-2019,Condo/Co-op,225 Springview,Irvine,CA,92620,355000,1,1.0,NW - Northwood,639,,1977,438,556,295,Sold,,,http://www.redfin.com/CA/Irvine/225-Springview-92620/home/5493514,CRMLS,OC18241366,N,Y,33.7140277,-117.7584347
PAST SALE,February-14-2014,Single Family Residential,34 Marblehead,Irvine,CA,92620,950000,4,2.75,WD - Woodbury,2156,3433,2010,2227,441,110,Sold,,,http://www.redfin.com/CA/Irvine/34-Marblehead-92620/home/28931919,CRMLS,OC13212470,N,Y,33.6980024,-117.7564641
PAST SALE,August-20-2019,Condo/Co-op,186 Streamwood,Irvine,CA,92620,306000,1,1.0,NW - Northwood,633,,1977,214,483,295,Sold,,,http://www.redfin.com/CA/Irvine/186-Streamwood-92620/home/5492865,CRMLS,OC19138464,N,Y,33.7134299,-117.7586793
PAST SALE,June-21-2018,Condo/Co-op,614 Silk Tree,Irvine,CA,92606,699888,3,3.5,CG - Columbus Grove,1669,,2007,639,419,399,Sold,,,http://www.redfin.com/CA/Irvine/614-Silk-Tree-92606/home/12253381,CRMLS,OC18093396,N,Y,33.6919338,-117.8192123
PAST SALE,September-8-2017,Condo/Co-op,70 Timber #44,Irvine,CA,92614,595000,3,2.0,WB - Woodbridge,1114,,1980,925,534,361,Sold,,,http://www.redfin.com/CA/Irvine/70-Timber-Run-92614/unit-44/home/5575860,CRMLS,OC17157796,N,Y,33.6743079,-117.8159804
PAST SALE,August-28-2018,Condo/Co-op,62 Windjammer #30,Irvine,CA,92614,480388,2,2.0,WB - Woodbridge,970,1000,1980,571,495,398,Sold,,,http://www.redfin.com/CA/Irvine/62-Windjammer-92614/unit-30/home/5590947,CRMLS,OC18150747,N,Y,33.6778474,-117.8136346
PAST SALE,May-11-2018,Condo/Co-op,2206 Apricot Dr #2206,Irvine,CA,92618,475000,2,2.0,OT - Orangetree,1000,,1979,680,475,441,Sold,,,http://www.redfin.com/CA/Irvine/2206-Apricot-Dr-92618/unit-2206/home/5259653,CRMLS,OC18070181,N,Y,33.669467039,-117.7744408
PAST SALE,,Condo/Co-op,123 Neptune,Irvine,CA,92618,700000,3,3.0,,2038,,,,343,,,,,http://www.redfin.com/CA/Irvine/123-Neptune-92618/home/143910134,,,N,Y,33.698790433,-117.7324954
